Mobile_Device,Rating,sentiment_label,sentiment_score,positive_probability,neutral_probability,negative_probability,rating_norm,satisfaction_score,score_agreement,review_len,Date,Additional_Information
iPhone 17 Pro Max,5,positive,0.991,0.9851,0.0117,0.0032,1.0,99.8,1,1398,1 month ago,Incentivized | Verified Purchaser | Owned for 5 months
iPhone 17 Pro Max,5,positive,0.9926,0.9882,0.0088,0.003,1.0,99.89,1,434,1 month ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9923,0.9881,0.0085,0.0034,1.0,99.88,1,129,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9928,0.9891,0.0074,0.0035,1.0,99.9,1,463,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9886,0.9829,0.0114,0.0057,1.0,99.67,1,357,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9918,0.988,0.0075,0.0045,1.0,99.85,1,104,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9924,0.9887,0.0075,0.0038,1.0,99.88,1,149,1 month ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9918,0.9872,0.0091,0.0037,1.0,99.85,1,350,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9826,0.9717,0.0217,0.0066,1.0,99.33,1,244,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,neutral,0.665,0.4358,0.4583,0.1059,1.0,81.56,0,250,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9912,0.987,0.0084,0.0046,1.0,99.82,1,217,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.99,0.9834,0.0133,0.0033,1.0,99.75,1,590,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.8993,0.8638,0.071,0.0652,1.0,94.67,1,361,2 months ago,Incentivized | Verified Purchaser | Owned for 4 months
iPhone 17 Pro Max,5,positive,0.9941,0.9907,0.0069,0.0024,1.0,99.98,1,282,1 month ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9657,0.9417,0.048,0.0103,1.0,98.39,1,59,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9849,0.9766,0.0168,0.0067,1.0,99.46,1,400,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9906,0.985,0.0111,0.0039,1.0,99.78,1,198,6 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9922,0.9879,0.0087,0.0034,1.0,99.87,1,144,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9885,0.9826,0.0118,0.0057,1.0,99.66,1,178,1 month ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9885,0.982,0.0129,0.0051,1.0,99.66,1,286,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9906,0.9845,0.0122,0.0033,1.0,99.78,1,149,2 months ago,Incentivized | Verified Purchaser | Owned for 4 months
iPhone 17 Pro Max,5,positive,0.9642,0.9433,0.0417,0.0149,1.0,98.3,1,246,3 months ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.99,0.9842,0.0115,0.0043,1.0,99.75,1,267,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9179,0.8574,0.121,0.0216,1.0,95.71,1,540,2 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9886,0.9809,0.0153,0.0037,1.0,99.67,1,281,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,negative,0.137,0.0356,0.2027,0.7616,0.75,40.56,0,1540,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9912,0.9866,0.0092,0.0042,1.0,99.82,1,69,1 month ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9925,0.989,0.0069,0.0041,1.0,99.89,1,65,1 month ago,Incentivized | Verified Purchaser | Best Buy Employee | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9919,0.9867,0.0104,0.0029,1.0,99.85,1,69,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9831,0.9741,0.018,0.0079,1.0,99.36,1,105,3 months ago,Incentivized | Verified Purchaser | Best Buy Employee | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9923,0.9886,0.0073,0.0041,1.0,99.88,1,212,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9934,0.99,0.0069,0.0031,1.0,99.94,1,112,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9805,0.9658,0.0294,0.0047,1.0,99.22,1,50,1 month ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9912,0.9849,0.0125,0.0026,1.0,99.82,1,49,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.989,0.9822,0.0137,0.0041,1.0,99.69,1,187,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9899,0.9839,0.012,0.0041,1.0,99.74,1,120,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9929,0.9893,0.0071,0.0036,1.0,99.91,1,77,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9909,0.987,0.0078,0.0052,1.0,99.8,1,164,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9902,0.9844,0.0115,0.0041,1.0,99.76,1,654,3 weeks ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9903,0.9844,0.0118,0.0037,1.0,99.76,1,76,4 months ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9893,0.9826,0.0134,0.004,1.0,99.71,1,80,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9915,0.9856,0.0118,0.0026,1.0,99.83,1,122,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9943,0.9917,0.0052,0.0031,1.0,99.99,1,105,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9937,0.9907,0.0061,0.0032,1.0,99.96,1,119,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9862,0.9753,0.0218,0.003,1.0,99.54,1,128,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9841,0.9742,0.0199,0.006,1.0,99.42,1,64,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9919,0.988,0.0079,0.0041,1.0,99.85,1,62,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9917,0.987,0.0094,0.0036,1.0,99.84,1,89,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.992,0.9879,0.0083,0.0038,1.0,99.86,1,98,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9858,0.9759,0.0198,0.0043,1.0,99.51,1,93,5 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9923,0.9876,0.0094,0.003,1.0,99.88,1,83,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9862,0.9758,0.0208,0.0034,1.0,99.54,1,57,2 months ago,Incentivized
iPhone 17 Pro Max,5,positive,0.988,0.979,0.018,0.0031,1.0,99.64,1,174,2 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9899,0.9825,0.0148,0.0027,1.0,99.74,1,74,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9927,0.9881,0.0091,0.0028,1.0,99.9,1,72,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.987,0.9776,0.0188,0.0036,1.0,99.58,1,427,2 weeks ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9924,0.9886,0.0075,0.0039,1.0,99.88,1,75,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9894,0.9839,0.0111,0.005,1.0,99.71,1,391,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9943,0.9915,0.0056,0.0029,1.0,99.99,1,52,3 months ago,Incentivized
iPhone 17 Pro Max,5,positive,0.9914,0.9868,0.0091,0.0041,1.0,99.83,1,64,5 months ago,Incentivized | Top 1000 Contributor | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9865,0.9788,0.0153,0.0058,1.0,99.55,1,128,1 month ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.991,0.9857,0.0106,0.0037,1.0,99.8,1,51,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9922,0.987,0.0103,0.0027,1.0,99.87,1,53,5 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9937,0.99,0.0074,0.0026,1.0,99.96,1,115,1 month ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9892,0.9825,0.0134,0.0041,1.0,99.7,1,90,1 month ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9915,0.986,0.011,0.003,1.0,99.83,1,212,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,positive,0.8017,0.6911,0.2212,0.0878,0.75,77.76,1,453,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9871,0.9809,0.0123,0.0068,1.0,99.59,1,251,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9935,0.9899,0.0072,0.0029,1.0,99.94,1,159,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9688,0.9507,0.0363,0.013,1.0,98.56,1,155,3 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9898,0.9838,0.012,0.0042,1.0,99.74,1,254,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9779,0.9622,0.0315,0.0063,1.0,99.07,1,62,1 month ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9899,0.9827,0.0145,0.0028,1.0,99.74,1,136,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.8293,0.703,0.2526,0.0444,1.0,90.75,1,145,3 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9924,0.9884,0.008,0.0036,1.0,99.88,1,307,1 month ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9676,0.9473,0.0406,0.0121,1.0,98.49,1,245,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.993,0.9892,0.0076,0.0032,1.0,99.92,1,259,3 weeks ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9868,0.9792,0.0153,0.0055,1.0,99.57,1,61,1 month ago,Incentivized | Verified Purchaser | Owned for 3 months
iPhone 17 Pro Max,5,positive,0.9763,0.96,0.0326,0.0074,1.0,98.98,1,101,2 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9911,0.9868,0.0086,0.0046,1.0,99.81,1,53,1 month ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,negative,0.0923,0.0194,0.1458,0.8348,1.0,49.51,0,159,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9929,0.988,0.0097,0.0022,1.0,99.91,1,180,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9924,0.9882,0.0084,0.0034,1.0,99.88,1,57,2 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.989,0.9812,0.0157,0.0032,1.0,99.69,1,56,2 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9863,0.977,0.0186,0.0044,1.0,99.54,1,125,3 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9877,0.981,0.0133,0.0057,1.0,99.62,1,125,3 days ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9917,0.9868,0.0098,0.0034,1.0,99.84,1,189,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9509,0.9188,0.0643,0.0169,1.0,97.56,1,150,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9912,0.9866,0.0092,0.0042,1.0,99.82,1,111,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,4,positive,0.9907,0.9847,0.012,0.0033,0.75,88.34,1,74,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9102,0.8442,0.132,0.0238,1.0,95.28,1,98,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9921,0.9874,0.0094,0.0032,1.0,99.87,1,188,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9773,0.9656,0.0232,0.0111,1.0,99.04,1,94,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9797,0.9657,0.028,0.0062,1.0,99.17,1,98,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9912,0.9854,0.0116,0.003,1.0,99.82,1,71,2 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.993,0.9883,0.0094,0.0023,1.0,99.92,1,62,2 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9902,0.9852,0.01,0.0048,1.0,99.76,1,92,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9877,0.98,0.0153,0.0046,1.0,99.62,1,163,5 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9932,0.9898,0.0066,0.0035,1.0,99.93,1,91,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.991,0.9871,0.0079,0.0051,1.0,99.8,1,176,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9929,0.9875,0.0108,0.0017,1.0,99.91,1,54,2 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9926,0.9878,0.0096,0.0026,1.0,99.89,1,131,4 days ago,Incentivized | Verified Purchaser | Owned for 5 months
iPhone 17 Pro Max,5,positive,0.9934,0.9894,0.0081,0.0025,1.0,99.94,1,92,4 months ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.718,0.5193,0.3972,0.0834,1.0,84.53,1,293,2 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9938,0.9909,0.0059,0.0032,1.0,99.96,1,81,3 months ago,Incentivized | Verified Purchaser | Best Buy Employee | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.8829,0.7863,0.1931,0.0205,1.0,93.75,1,88,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9921,0.9872,0.0099,0.003,1.0,99.87,1,80,4 days ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9911,0.9862,0.0098,0.004,1.0,99.81,1,100,4 months ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.9919,0.9877,0.0084,0.0039,1.0,99.85,1,79,1 day ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.9908,0.9845,0.0126,0.0028,1.0,99.79,1,73,3 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9886,0.9812,0.0149,0.0039,1.0,99.67,1,134,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9927,0.9894,0.0067,0.0039,1.0,99.9,1,66,4 months ago,Incentivized | Verified Purchaser | Best Buy Employee | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9934,0.9899,0.007,0.0031,1.0,99.94,1,68,3 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.988,0.9806,0.0147,0.0047,1.0,99.64,1,139,1 week ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9907,0.9842,0.013,0.0028,1.0,99.79,1,87,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9864,0.9767,0.0194,0.0039,1.0,99.55,1,112,6 days ago,Incentivized | Verified Purchaser | Owned for 1 week
iPhone 17 Pro Max,5,positive,0.984,0.9723,0.0233,0.0044,1.0,99.41,1,64,3 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9899,0.9828,0.0141,0.003,1.0,99.74,1,163,3 weeks ago,Incentivized | Verified Purchaser | Owned for 3 weeks
iPhone 17 Pro Max,5,positive,0.992,0.9885,0.007,0.0045,1.0,99.86,1,127,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9935,0.9901,0.0067,0.0032,1.0,99.94,1,125,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9881,0.9801,0.0161,0.0038,1.0,99.64,1,58,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9924,0.9885,0.0078,0.0037,1.0,99.88,1,125,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9914,0.9869,0.0089,0.0042,1.0,99.83,1,108,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9887,0.9811,0.0152,0.0037,1.0,99.68,1,57,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9885,0.9808,0.0154,0.0037,1.0,99.66,1,154,3 weeks ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9932,0.99,0.0064,0.0036,1.0,99.93,1,76,,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9913,0.9865,0.0095,0.0039,1.0,99.82,1,120,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9925,0.9892,0.0066,0.0042,1.0,99.89,1,75,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9923,0.9874,0.0098,0.0028,1.0,99.88,1,138,6 months ago,Incentivized | Verified Purchaser | Best Buy Employee
iPhone 17 Pro Max,5,positive,0.8336,0.6839,0.2994,0.0167,1.0,90.99,1,120,6 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9918,0.9881,0.0074,0.0045,1.0,99.85,1,57,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9914,0.9873,0.0083,0.0044,1.0,99.83,1,70,4 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9876,0.9819,0.0115,0.0066,1.0,99.61,1,54,2 days ago,Incentivized | Verified Purchaser | Owned for 6 months
iPhone 17 Pro Max,5,positive,0.991,0.985,0.0119,0.0031,1.0,99.8,1,61,4 months ago,Incentivized | Verified Purchaser | Owned for 1 month
iPhone 17 Pro Max,5,positive,0.9868,0.9779,0.0176,0.0044,1.0,99.57,1,65,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9904,0.9855,0.0098,0.0048,1.0,99.77,1,135,3 weeks ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9936,0.9903,0.0066,0.003,1.0,99.95,1,62,4 months ago,Incentivized | Verified Purchaser | Owned for 2 months
iPhone 17 Pro Max,5,positive,0.9933,0.9891,0.0083,0.0026,1.0,99.93,1,87,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9923,0.9889,0.0067,0.0044,1.0,99.88,1,53,4 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9919,0.9871,0.0097,0.0032,1.0,99.85,1,99,5 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
iPhone 17 Pro Max,5,positive,0.9896,0.9839,0.0114,0.0047,1.0,99.73,1,79,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9933,0.9901,0.0065,0.0034,1.0,99.93,1,75,5 days ago,Incentivized | Verified Purchaser | Owned for 6 months
iPhone 17 Pro Max,5,positive,0.9899,0.9844,0.0111,0.0045,1.0,99.74,1,83,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9927,0.9881,0.0093,0.0026,1.0,99.9,1,76,5 months ago,Incentivized | Verified Purchaser
iPhone 17 Pro Max,5,positive,0.9897,0.9834,0.0126,0.004,1.0,99.73,1,98,6 months ago,Incentivized | Verified Purchaser | Owned for 2 weeks
